ano,mes,Transacoes correntes,Receitas,Despesas
2012,Fev,-2094.18,22754.26,24848.44
2012,Mar,-4576.05,25504.00,30080.06
2012,Abr,-7100.52,23793.66,30894.18
2012,Mai,-5509.26,28411.52,33920.78
2012,Jun,-6535.08,23095.29,29630.37
2012,Jul,-7758.92,24256.78,32015.69
2012,Ago,-4117.45,26518.85,30636.30
2012,Set,-3643.10,23775.64,27418.74
2012,Out,-6572.80,26175.87,32748.67
2012,Nov,-7690.45,24788.46,32478.91
2012,Dez,-9171.86,24610.35,33782.21
2013,Jan,-11766.49,20899.48,32665.97
2013,Fev,-4864.77,20004.24,24869.01
2013,Mar,-5683.99,23676.45,29360.44
2013,Abr,-6597.34,25570.53,32167.87
2013,Mai,-5212.40,26522.84,31735.24
2013,Jun,-2692.13,25487.44,28179.58
2013,Jul,-10648.68,25595.75,36244.43
2013,Ago,-5199.38,25682.37,30881.75
2013,Set,-2347.92,27138.83,29486.75
2013,Out,-7315.86,26939.48,34255.34
2013,Nov,-5914.85,24462.37,30377.22
2013,Dez,-6595.13,25531.55,32126.68
2014,Jan,-13164.65,21099.74,34264.39
2014,Fev,-7506.77,20534.68,28041.45
2014,Mar,-6625.53,22096.33,28721.86
2014,Abr,-9174.41,24022.70,33197.12
2014,Mai,-7848.57,25358.07,33206.63
2014,Jun,-5085.62,25286.45,30372.07
2014,Jul,-9300.03,28607.07,37907.10
2014,Ago,-6946.93,25033.34,31980.27
2014,Set,-8410.97,24245.35,32656.33
2014,Out,-9315.55,22829.14,32144.69
2014,Nov,-9148.18,19824.22,28972.40
2014,Dez,-11654.12,22905.69,34559.80
2015,Jan,-12165.26,17954.54,30119.80
2015,Fev,-7176.33,16138.91,23315.24
2015,Mar,-5759.73,21758.67,27518.40
2015,Abr,-6844.17,18794.43,25638.60
2015,Mai,-3922.58,20665.66,24588.24
2015,Jun,-2565.57,23672.84,26238.41
2015,Jul,-5685.12,22754.35,28439.47
2015,Ago,-2592.97,19324.85,21917.83
2015,Set,-3050.80,20046.51,23097.31
2015,Out,-4277.31,20006.54,24283.85
2015,Nov,-2951.21,17372.44,20323.65
2015,Dez,-2443.22,22022.99,24466.20
2016,Jan,-4816.75,15545.59,20362.34
2016,Fev,-1915.62,17486.47,19402.09
2016,Mar,-864.42,19738.01,20602.43
2016,Abr,412.49,19699.64,19287.15
2016,Mai,1186.00,21199.61,20013.61
2016,Jun,-2488.78,20496.77,22985.55
2016,Jul,-3950.72,20328.01,24278.73
2016,Ago,-648.40,21180.88,21829.28
2016,Set,-503.71,19908.69,20412.40
2016,Out,-3341.13,17483.14,20824.27
2016,Nov,-717.58,20346.59,21064.18
2016,Dez,-5897.23,21152.70,27049.93
2017,Jan,-5085.03,19116.90,24201.93
2017,Fev,-945.24,19350.62,20295.86
2017,Mar,1385.85,24692.86,23307.01
2017,Abr,1149.14,21744.30,20595.16
2017,Mai,2751.22,24237.37,21486.15
2017,Jun,1328.17,23570.07,22241.91
2017,Jul,-3418.79,22768.20,26186.99
2017,Ago,-299.83,23403.01,23702.84
2017,Set,442.51,22763.71,22321.20
2017,Out,-348.62,22897.61,23246.23
2017,Nov,-2394.68,20953.67,23348.35
2017,Dez,-4326.51,23650.10,27976.61
2018,Jan,-4310.05,22942.75,27252.80
